Count,ExcerptPostId,Id,TagName,WikiPostId
104,2138,1,cruising,2137
43,357,2,caribbean,356
43,319,4,vacations,318
8,14548,6,amazon-river,14547
100,1792,8,romania,1791
373,1183,9,transportation,1182
39,243,10,extreme-tourism,242
10,164,11,antarctica,163
386,1112,12,planning,1111
2858,158,14,usa,157
658,1193,15,airports,1192
876,1417,16,public-transport,1416
88,2394,17,argentina,2393
483,2719,18,money,2718
460,506,19,safety,505
5271,311,20,visas,310
83,2406,21,peru,2405
40,4224,22,bolivia,4223
96,361,25,cuba,360
585,281,26,international-travel,280
62,13726,27,hungary,13725
33,369,28,budapest,368
1031,337,29,trains,336
681,286,30,europe,285
443,496,31,china,495
61,1798,32,mongolia,1797
291,294,33,russia,293
64,355,34,south-america,354
11,2398,39,tropical-destinations,2397
57,1734,40,activities,1733
71,3840,41,destinations,3839
66,1191,42,adventure,1190
147,1120,43,taxis,1119
20,3813,45,estonia,3812
2830,255,46,air-travel,254
46,18388,47,permits,18387
14,9728,48,tibet,9727
33,2386,49,florida,2385
15,643,50,orlando,642
123,4507,52,south-africa,4506
826,325,53,luggage,324
584,469,55,japan,468
507,2134,57,airlines,2133
143,1794,59,israel,1793
17,9867,60,palestine,9866
305,1718,61,accommodation,1717
615,459,62,france,458
40,670,65,shanghai,669
126,365,67,new-zealand,364
130,2418,68,vietnam,2417
246,1730,72,insurance,1729
40,332,74,central-america,331
38,2366,75,around-the-world,2365
660,340,76,india,339
151,367,77,hiking,366
46,371,78,africa,370
7,1742,82,kilimanjaro,1741
2,1140,84,international-calls,1139
241,253,85,sightseeing,252
658,1185,86,online-resources,1184
52,1134,87,mobile-operators,1133
710,392,90,budget,391
137,1728,92,tours,1727
28,4222,94,ecuador,4221
142,8306,95,hong-kong,8305
268,641,96,paris,640
52,359,98,high-speed-rail,358
99,1056,99,fares,1055
396,1720,100,hotels,1719
191,597,101,loyalty-programs,596
26,317,103,middle-east,316
6,52898,104,yemen,52897
193,1122,105,road-trips,1121
84,2390,106,denmark,2389
125,10475,107,nature-and-wildlife,10474
102,2262,108,iran,2261
47,2380,109,pakistan,2379
12,532,111,uzbekistan,531
10,2228,112,tajikistan,2227
288,375,113,spain,374
387,508,114,cellphones,507
54,3721,115,diving,3720
11,260,116,ecotourism,259
107,2230,117,malaysia,2229
52,2136,119,guides,2135
2,14579,122,astrakhan,14578
181,327,123,ferries,326
26,1796,124,kazakhstan,1795
39,315,126,consulates,314
7,346,127,castles,345
407,467,128,italy,466
54,2374,130,mountains,2373
76,284,134,overland,283
11,3817,135,carnet-de-passage,3816
95,353,138,language-barrier,352
27,1744,139,tourist-traps,1743
8,23914,140,eclipses,23913
411,1738,141,australia,1737
16,647,144,tallinn,646
27,4708,147,star-alliance,4707
29,344,148,alaska,343
143,1219,149,work,1218
421,363,151,food-and-drink,362
54,1197,152,seasonal,1196
80,2296,153,tipping,2295
97,257,154,photography,256
81,1199,155,backpacking,1198
210,1326,156,security,1325
292,1736,157,automobiles,1735
391,1132,160,buses,1131
40,16754,162,passenger-rights,16753
98,16118,163,delays,16117
4,53270,164,aktau,53269
25,9855,166,mountain-climbing,9854
123,342,167,georgia-country,341
16,335,168,caucasus,334
270,1118,169,borders,1117
91,595,172,southeast-asia,594
9,2392,173,black-sea,2391
27,2384,174,eastern-europe,2383
70,645,175,rome,644
72,2372,176,motorcycles,2371
17,1124,177,trans-siberian,1123
199,1223,178,local-customs,1222
21,510,179,armenia,509
29,512,180,azerbaijan,511
16,10487,182,guatemala,10486
87,653,185,istanbul,652
250,534,186,turkey,533
133,2260,192,iceland,2259
107,2264,195,greece,2263
131,2388,196,clothing,2387
2114,413,197,uk,412
1798,541,199,customs-and-immigration,540
5,2414,201,shore-excursions,2413
366,1116,202,car-rentals,1115
435,1187,206,health,1186
28,463,208,north-america,462
134,2232,209,routes,2231
447,1189,211,driving,1188
74,1755,215,itineraries,1754
132,2292,216,maps,2291
31,649,218,boston,648
139,1128,221,camping,1127
65,2140,222,bulgaria,2139
44,655,225,los-angeles,654
446,461,226,airport-transfer,460
204,630,227,new-york-city,629
139,3735,228,poland,3734
648,841,229,germany,840
2,661,233,bukhara,660
86,2408,234,philippines,2407
18,668,237,seattle,667
376,657,240,london,656
24,651,241,kuala-lumpur,650
131,1114,243,rental,1113
205,521,244,mexico,520
72,9831,251,cambodia,9830
57,1761,252,laos,1760
23,9829,254,grand-canyon,9828
218,1999,255,switzerland,1998
103,2298,256,taiwan,2297
253,2144,257,thailand,2143
94,1765,258,sea-travel,1764
18,1138,262,freighter-travel,1137
